PID,Project,DatasetInfo,nModules,nMetrics,nCorrelatedMetrics,nMitigatedMetrics,DefectiveRatio,EPV,LR-AUC,RF-AUC
49,Apache,lucene-2.4,340,20,9,11,59.70588235,10.15,0.74478728,0.77343909
56,Apache,poi-2.5,385,20,11,9,64.41558442,12.4,0.802133961,0.901702391
57,Apache,poi-3.0,442,20,10,10,63.57466063,14.05,0.787913842,0.883448353
82,Apache,xalan-2.6,885,20,8,12,46.44067797,20.55,0.794087318,0.853501213
86,Apache,xerces-1.4,588,20,11,9,74.31972789,21.85,0.912875363,0.953668739
95,Eclipse,eclipse34_debug,1065,17,9,8,24.69483568,15.47058824,0.721798048,0.806637748
98,Eclipse,jdt,997,15,10,5,20.66198596,13.73333333,0.812729093,0.816997444
100,Eclipse,mylyn,1862,15,10,5,13.15789474,16.33333333,0.775574031,0.739242679
101,Eclipse,pde,1497,15,9,6,13.96125585,13.93333333,0.716624589,0.723008098
89,Eclipse,eclipse-2.0,6729,32,24,8,14.48952296,30.46875,0.81844911,0.842237541
91,Eclipse,eclipse-3.0,10593,32,24,8,14.80222789,49,0.788336632,0.80684495
96,Eclipse,eclipse34_swt,1485,17,7,10,43.97306397,38.41176471,0.870884829,0.97044835
58,Proprietary,prop-1,18471,20,10,10,14.82323642,136.9,0.745453251,0.792659089
61,Proprietary,prop-4,8718,20,11,9,9.63523744,42,0.739967258,0.715018346
